Metabolite,M_C_4_AB,M_C_7_AB,M_C_12_AB,M_C_14_AB,M_C_19_AB,M_C_30_AB,M_H_2_AB,M_H_2B,M_H_4_AB,M_H_11_AB,M_H_17_AB,M_H_26_AB,M_H_28_AB,M_H_30_AB,M_H_32_AB,M_H_34_AB,O_C_4_AB,O_C_12_AB,O_C_14_AB,O_C_19_AB,O_C_27_AB,O_C_34_AB,O_H_2_AB,O_H_4_AB,O_H_11_AB,O_H_17_AB,O_H_32_AB
"1,3-dihydroxyacetone",201558.1,230863.4,310910.0,245659.2,232123.1,264868.3,132565.9,175408.0,207265.6,200195.2,11486398.8,331945.1,186790.8,373936.4,300905.1,371204.1,313388.4,411931.8,246935.8,270366.9,624569.9,327320.0,233960.2,222957.7,186341.8,234212.6,177300.9
"1,4-D-xylobiose ",92632.3,59878.8,444064.7,204729.1,140847.5,226858.2,77650.7,68907.7,87523.2,122632.2,71585.3,124406.9,49584.2,357178.5,370081.8,46575.0,161703.0,501461.0,119733.0,338960.0,247569.8,310477.0,139770.8,181227.1,53837.3,166420.5,33521.1
2-furoic acid,0.0,20244.9,368618.7,290832.0,346959.6,362864.1,190631.4,22918.1,419948.5,136766.7,208463.5,275125.1,356263.9,444348.2,37180.6,359615.9,216406.2,290985.9,164079.9,27451.7,250931.9,226323.6,143294.1,167878.8,12033.4,10321.1,141094.9
2-hydroxypyridine,848669.1,1503773.8,1530763.4,1166233.2,1366151.4,1244331.7,1088860.7,2088375.5,1089495.4,1016476.2,1145739.3,1217879.3,1069384.6,1578411.3,1171210.8,1377520.0,1267011.1,2058137.3,857639.3,1564931.5,1273704.6,1205659.2,1572751.3,1247938.9,1663712.8,986499.7,1165535.3
3-amino-2-piperidone*,338073.0,330988.7,723426.1,1008494.0,735189.6,708869.7,338854.9,586736.4,271465.5,594404.1,239339.0,228917.3,179462.4,206234.8,392354.4,306326.9,7166777.7,14202079.9,4490234.2,1934624.8,5710184.8,5986927.5,4191278.3,3139169.5,1357579.2,1841770.6,1167193.6
3-hydroxybutyric acid,665168.0,968541.0,1950630.8,1364056.9,645911.0,1745759.1,523485.0,492646.1,491344.6,484619.5,1347377.8,885926.7,1517862.0,1634422.9,1299326.5,2993634.7,654375.3,452154.6,803182.0,672468.2,550734.5,1259458.2,387054.8,544096.2,316679.1,413058.8,468887.4
4-aminobutyric acid (GABA),1219404.7,9283552.7,4657182.5,4822063.9,4692235.0,3085062.2,629202.5,1072926.3,2002605.0,3365820.5,1738429.0,0.0,991899.1,2202431.4,4814624.0,1817006.1,18276546.3,28283192.0,26770328.0,18309290.9,16636634.9,11400763.4,10788979.8,14357431.6,10690717.2,6293252.6,1923468.5
adenosine,597430.6,2618724.9,986353.6,1479949.2,874531.5,1078726.7,1835680.1,1057495.9,771983.7,1501351.9,1954308.2,1421324.8,2240124.3,1481244.9,1718898.4,4543631.1,700307.0,288475.0,611427.7,653705.5,451518.5,1051869.9,794504.2,1041657.3,630165.2,1367511.2,57984.6
allantoin,1503819.0,550998.3,6396.9,2210454.9,22046.0,93163.2,14199.3,589931.8,915507.8,2369091.7,676963.7,483432.1,45292.3,27870.0,8849.4,1244739.1,12636166.4,10877713.5,3046188.2,7266656.2,3009841.2,14321494.3,6961788.0,6299574.9,2915223.5,18380042.2,1755759.5
arbutin,610194.3,0.0,190004.4,3361765.8,3250395.9,3068598.2,0.0,1739594.8,0.0,249393.8,0.0,4559998.4,0.0,998520.8,401385.1,5327529.2,1460283.2,1313422.7,2125967.0,4871845.8,16196.8,2867365.1,49558.3,414079.2,0.0,0.0,0.0
beta- alanine,0.0,0.0,0.0,0.0,0.0,1374224.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812311.8,882515.2,1025974.4,451044.1,0.0,11748463.4,0.0,0.0,0.0,235047.3,0.0
beta-cyano-L-alanine,268477.7,41565.7,319110.9,386987.1,415429.8,282544.3,107896.6,100041.9,168925.9,112344.6,167897.0,139197.1,133673.0,33483.6,183846.4,48095.6,3864302.9,3823388.6,2435842.1,1646837.9,2076608.0,3363593.8,1822226.3,1689117.1,578982.8,1303754.1,326109.0
carbonate ion,4613362.9,3414290.9,3956110.1,3514038.0,4827966.1,3357043.7,2887031.0,4143004.5,3068424.4,3936535.2,3219209.0,4450718.9,2210044.0,3037693.7,3317337.9,3140739.1,6120612.0,4237093.8,4314659.4,3101537.7,4143028.8,5587509.9,4556457.9,4600841.8,4984369.0,1595633.6,3992266.8
dehydroalanine,539521.4,152628.0,146060.7,198892.5,175299.5,181619.2,240515.9,265819.2,329685.1,359722.5,675300.1,383155.9,676066.6,162699.0,415632.5,340253.3,444240.8,802763.9,305810.4,280905.7,413556.1,447739.4,239964.8,261117.7,473131.5,703846.4,72708.4
