Mineral,Organic
5.29E-05,0.00092
0.000121,0.002446
0.000561,0.003399
0.000601,0.003445
0.001069,0.00485
0.001197,0.007582
0.001919,0.009582
0.002787,0.01059
0.002795,0.010858
0.003711,0.013603
0.007208,0.014025
0.007655,0.020022
0.009317,0.020613
0.009779,0.024483
0.011336,0.02472
0.013893,0.026659
0.015816,0.029547
0.015906,0.032501
0.017121,0.03288
0.018059,0.034349
0.019211,0.036392
0.021384,0.037313
0.02243,0.037907
0.02335,0.037952
0.029034,0.03824
0.033193,0.039805
0.041372,0.041102
0.041403,0.043117
0.046628,0.043276
,0.046032
,0.046729
,0.047524
