Metabolite,KEGG
"1,3-dihydroxyacetone",C00184
"1,4-D-xylobiose",C01630
2-furoic acid,C01546
2-hydroxypyridine,C02502
3-amino-2-piperidone*,NA
3-hydroxybutyric acid,C01089
4-aminobutyric acid (GABA),C00334
adenosine,C00212
allantoin,C01551
arbutin,C06186
beta- alanine,C00099
beta-cyano-L-alanine,C02512
carbonate ion,C00288
D-fructose,C10906
D-galactose,C00124
D-gluconic acid,C00257
D-glucose,C00031
D-malic acid,C00497
D-maltitol,NA
D-mannitol,C00392
D-mannose,C00159
D-ribose,C00121
D-threitol,C16884
D-xylose,C00181
dehydroalanine,C02218
ethanolamine,C00189
fumaric acid,C00122
galactinol,C01235
galactitol,C01697
galacto-hexodialdose*,C03269
glucosyl glycerate,NA
glucosyl glycerol 1,NA
glucosyl glycerol 2,NA
glucosyl glycerol 3,NA
glyceraldehyde,C02154
glyceric acid,C00258
glycerol,C00116
glycine,C00037
glycolic acid,C00160
inositol phosphate,C04021
isomaltose,C00252
L-alanine,C00041
L-asparagine,C00152
L-glutamic acid,C00025
L-glutamine,C00064
L-homoserine,C00263
L-isoleucine,C00407
L-leucine,C00123
L-phenylalanine,C00079
L-proline,C00148
L-pyroglutamic acid,C01879
L-serine,C00065
L-threonic acid,C01620
L-threonine,C00188
L-tyrosine,C00082
L-valine,C00183
lactic acid,C01432
leucrose,NA
levoglucosan,NA
maltose,C00208
maltotriitol,NA
maltotriose,C01835
melezitose,C08243
melibiose,C05402
methyl phosphate,C17943
myo-inositol,C00137
N-acetyl-D-mannosamine,C00645
nicotinic acid,C00253
porphine,NA
propylene glycol,C00583
raffinose,C00492
scyllo-inositol,C06153
sophorose,C08250
sucrose,C00089
threose,C06463
thymine,C00178
trehalose,C01083
Tris 1 (buffer?),NA
Tris 2 (buffer?),NA
turanose,C19636
Unknown 001,NA
Unknown 002,NA
Unknown 003,NA
Unknown 004,NA
Unknown 005,NA
Unknown 006,NA
Unknown 007,NA
Unknown 008,NA
Unknown 009,NA
Unknown 010,NA
Unknown 011,NA
Unknown 012,NA
Unknown 013,NA
Unknown 014,NA
Unknown 015,NA
Unknown 016,NA
Unknown 017,NA
Unknown 018,NA
Unknown 019,NA
Unknown 020,NA
Unknown 021,NA
Unknown 022,NA
Unknown 023,NA
Unknown 024,NA
Unknown 025,NA
Unknown 026,NA
Unknown 027,NA
Unknown 028,NA
Unknown 029,NA
Unknown 030,NA
Unknown 031,NA
Unknown 032,NA
Unknown 033,NA
Unknown 034,NA
Unknown 035,NA
Unknown 036,NA
Unknown 037,NA
Unknown 038,NA
Unknown 039,NA
Unknown 040,NA
Unknown 041,NA
Unknown 042,NA
Unknown 043,NA
Unknown 044,NA
Unknown 045,NA
Unknown 046,NA
Unknown 047,NA
Unknown 048,NA
Unknown 049,NA
Unknown 050,NA
Unknown 051,NA
Unknown 052,NA
Unknown 053,NA
Unknown 054,NA
Unknown 055,NA
Unknown 056,NA
Unknown 057,NA
Unknown 058,NA
Unknown 059,NA
Unknown 060,NA
Unknown 061,NA
Unknown 062,NA
Unknown 063,NA
Unknown 064,NA
Unknown 065,NA
Unknown 066,NA
Unknown 067,NA
Unknown 068,NA
Unknown 069,NA
Unknown 070,NA
Unknown 071,NA
Unknown 072,NA
Unknown 073,NA
Unknown 074,NA
Unknown 075,NA
Unknown 076,NA
Unknown 077,NA
Unknown 078,NA
Unknown 079,NA
Unknown 080,NA
Unknown 081,NA
Unknown 082,NA
Unknown 083,NA
Unknown 084,NA
Unknown 085,NA
Unknown 086,NA
Unknown 087,NA
Unknown 088,NA
Unknown 089,NA
Unknown 090,NA
Unknown 091,NA
Unknown 092,NA
Unknown 093,NA
Unknown 094,NA
Unknown 095,NA
Unknown 096,NA
Unknown 097,NA
Unknown 098,NA
Unknown 099,NA
Unknown 100,NA
Unknown 101,NA
Unknown 102,NA
Unknown 103,NA
Unknown 104,NA
Unknown 105,NA
Unknown 106,NA
Unknown 107,NA
Unknown 108,NA
Unknown 109,NA
Unknown 110,NA
Unknown 111,NA
Unknown 112,NA
Unknown 113,NA
Unknown 114,NA
Unknown 115,NA
Unknown 116,NA
Unknown 117,NA
Unknown 118,NA
Unknown 119,NA
Unknown 120,NA
Unknown 121,NA
Unknown 122,NA
Unknown 123,NA
Unknown 124,NA
Unknown 125,NA
Unknown 126,NA
Unknown 127,NA
Unknown 128,NA
uracil,C00106
urea,C00086
xylitol,C00379
