"","Metabolite","metabplot",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","meanC","st.devC","meanH","st.devH","foldchange","log2foldchange","KEGG","Class","Subclass_1","Subclass_2","Subclass_3","Subclass_4"
"1","1,3-dihydroxyacetone","1,3-dihydroxyacetone_M","count","M_C","M_H",6,10,-0.880853602588478,9.3927244046784,0.4,0.66984126984127,"ns",12.4107307841399,0.146542027023589,12.7696551752137,1.27458015732069,0.971892397551148,-0.0411314992790854,"C00184","Carbohydrates","Monosaccharides","Ketoses","none","none"
"2","1,3-dihydroxyacetone","1,3-dihydroxyacetone_O","count","O_C","O_H",6,5,3.38221650394497,6.73723206053086,0.012,0.21944,"ns",12.7586237537902,0.336642482551302,12.2525138799792,0.132356714745629,1.04130661501539,0.0583949359092011,"C00184","Carbohydrates","Monosaccharides","Ketoses","none","none"
"3","1,4-D-xylobiose","1,4-D-xylobiose_M","count","M_C","M_H",6,10,1.13139728008197,10.9553626296769,0.282,0.601030303030303,"ns",11.9761922502634,0.707867307502652,11.5574776081795,0.731103192061712,1.03622889494396,0.0513427183967788,"C01630","Carbohydrates","Oligosaccharides","Disaccharides","none","none"
"4","1,4-D-xylobiose","1,4-D-xylobiose_O","count","O_C","O_H",6,5,2.44526210155152,6.92044304362299,0.045,0.327413793103448,"ns",12.4351278386823,0.520734208418228,11.4582380124252,0.756335638101457,1.08525654862447,0.118036128086799,"C01630","Carbohydrates","Oligosaccharides","Disaccharides","none","none"
"5","2-furoic acid","2-furoic acid_M","count","M_C","M_H",6,10,-0.920783154022595,5.24476751441686,0.398,0.669147410358566,"ns",10.1454038069149,5.0976169552853,12.0848322711518,1.02699424883458,0.839515483482002,-0.252371161343037,"C01546",NA,NA,NA,NA,NA
"6","2-furoic acid","2-furoic acid_O","count","O_C","O_H",6,5,1.49642643354216,6.42332945980105,0.182,0.501467532467532,"ns",11.9761489986675,0.880831091163574,10.8796444400144,1.42760310124091,1.10078496266112,0.138532667265287,"C01546",NA,NA,NA,NA,NA
"7","2-hydroxypyridine","2-hydroxypyridine_M","count","M_C","M_H",6,10,-0.00162057007261495,10.836499832718,0.999,0.999,"ns",14.041182835595,0.218107878510462,14.0413666845256,0.222300033583082,0.999986906621361,-1.88898760971877e-05,"C02502",NA,NA,NA,NA,NA
"8","2-hydroxypyridine","2-hydroxypyridine_O","count","O_C","O_H",6,5,0.102449360378774,8.92321203680519,0.921,0.973524752475248,"ns",14.0957919768996,0.290969079038522,14.0801025121803,0.216130330422185,1.00111430046093,0.00160670074151716,"C02502",NA,NA,NA,NA,NA
"9","3-amino-2-piperidone*","3-amino-2-piperidone*_M","count","M_C","M_H",6,10,2.84266110955487,9.75211221908926,0.018,0.2532,"ns",13.2893149482608,0.459404260342487,12.6396135766047,0.413055933216131,1.05140199640744,0.0723143794216825,NA,NA,NA,NA,NA,NA
"10","3-amino-2-piperidone*","3-amino-2-piperidone*_O","count","O_C","O_H",6,5,2.74648964421688,8.99284998040401,0.023,0.297882352941176,"ns",15.5349259848157,0.649634605464026,14.545109910577,0.545645066371879,1.06805146749142,0.094981169596228,NA,NA,NA,NA,NA,NA
