"","Control","Heated","pvalues","V4","V5","Diff"
"40","C_O.DGDG(18:1/19:1)","H_O.DGDG(18:1/19:1)",0.000485553170755786,451990.64065,269591.80314,182398.83751
"43","C_M.DGTSA(14:0/18:3)","H_M.DGTSA(14:0/18:3)",0.000571638056197394,76696.4349,16374.6372557,60321.7976443
"127","C_M.TG(46:2)","H_M.TG(46:2)",0.000830368420038332,778455.671883333,475936.21252,302519.459363333
"39","C_M.DGDG(18:1/19:1)","H_M.DGDG(18:1/19:1)",0.00100019615606805,306643.286483333,165322.694528,141320.591955333
"37","C_M.DGDG(18:1/18:1)","H_M.DGDG(18:1/18:1)",0.00122238661454206,424250.13545,237910.14689,186339.98856
"88","C_O.HexCer(d18:2/16:1)_A","H_O.HexCer(d18:2/16:1)_A",0.0013480857175828,989989.864583333,482982.40626,507007.458323333
"90","C_O.HexCer(d18:2/16:1)_B","H_O.HexCer(d18:2/16:1)_B",0.00156215193688361,782918.270916667,378678.01876,404240.252156667
"23","C_M.DG(18:2/0:0/18:2)","H_M.DG(18:2/0:0/18:2)",0.00315679765710011,856624.234466667,493335.94065,363288.293816667
"229","C_M.TG(59:3)","H_M.TG(59:3)",0.00512974874141287,86480.602865,65115.789065,21364.8138
"57","C_M.DGTSA(16:0/18:3)_A","H_M.DGTSA(16:0/18:3)_A",0.0076840577565997,370091.007816667,139619.781261,230471.226555667
"119","C_M.PC(18:2/18:2)","H_M.PC(18:2/18:2)",0.00808194489503705,4347995.91666667,1757896.95625,2590098.96041667
"51","C_M.DGTSA(16:0/16:2)","H_M.DGTSA(16:0/16:2)",0.00975503562906115,101805.744803333,53401.141603,48404.603200333
"62","C_O.DGTSA(16:0/18:4)","H_O.DGTSA(16:0/18:4)",0.0126829381551356,230979.721366667,107866.675002,123113.046364667
"314","C_O.PE(18:2/18:2)","H_O.PE(18:2/18:2)",0.0130798671130464,3215628.47916667,966815.60626,2248812.87290667
"112","C_O.PC(18:1/18:2)_A","H_O.PC(18:1/18:2)_A",0.0136150273596961,4227203.70833333,2894493.7,1332710.00833333
"211","C_M.TG(56:6)_B","H_M.TG(56:6)_B",0.0140873950715555,576851.90625,409448.36566,167403.54059
"139","C_M.TG(48:1)","H_M.TG(48:1)",0.0160747036456115,3034633.83333333,1943005.8375,1091627.99583333
"120","C_O.PC(18:2/18:2)","H_O.PC(18:2/18:2)",0.0178211341133992,7147249,3969515.175,3177733.825
"11","C_M.DG(16:0/18:2/0:0)","H_M.DG(16:0/18:2/0:0)",0.0181927543172424,788812.59375,414855.17658,373957.41717
"13","C_M.DG(16:1/18:1/0:0)_A","H_M.DG(16:1/18:1/0:0)_A",0.0181927543172424,788812.59375,414855.17658,373957.41717
"187","C_M.TG(54:2)","H_M.TG(54:2)",0.0182569239806627,3722854.08333333,2656885.65,1065968.43333333
"100","C_O.PC(16:0/18:2)","H_O.PC(16:0/18:2)",0.0190955725322735,4001017.04166667,2395052.25,1605964.79166667
"167","C_M.TG(52:3)","H_M.TG(52:3)",0.0192208683819512,9168887.66666667,6721460.55,2447427.11666667
"67","C_M.DGTSA(16:1/18:1)_A","H_M.DGTSA(16:1/18:1)_A",0.0201223018988214,2105736.22916667,1222700.01875,883036.21041667
"66","C_O.DGTSA(16:1/16:1)","H_O.DGTSA(16:1/16:1)",0.0202522173928969,3296060.20833333,1766559.1125,1529501.09583333
"41","C_M.DGDG(19:1/19:1)","H_M.DGDG(19:1/19:1)",0.0202995344278844,5448681.25,3951662.9375,1497018.3125
"65","C_M.DGTSA(16:1/16:1)","H_M.DGTSA(16:1/16:1)",0.0204598220922701,1752674.47916667,1061986.05313,690688.42603667
"129","C_M.TG(46:3)","H_M.TG(46:3)",0.0205000300184981,422311.0443,220559.22892,201751.81538
"84","C_O.DGTSA(18:1/18:2)","H_O.DGTSA(18:1/18:2)",0.0258127764165794,1850125.26041667,896642.53126,953482.72915667
"93","C_M.HexCer(d34:3)","H_M.HexCer(d34:3)",0.0258565140026225,561889.229183333,247490.67266,314398.556523333
"72","C_O.DGTSA(16:1/18:2)","H_O.DGTSA(16:1/18:2)",0.0265818581406582,601401.554683333,215693.914072,385707.640611333
"197","C_M.TG(54:7)","H_M.TG(54:7)",0.0270676382856397,763582.520833333,485507.41877,278075.102063333
"213","C_M.TG(56:7)","H_M.TG(56:7)",0.0274135412426532,488034.442716667,359369.36096,128665.081756667
"15","C_M.DG(16:1/18:1/0:0)_B","H_M.DG(16:1/18:1/0:0)_B",0.0285954160087079,455096.20835,317457.55158,137638.65677
"50","C_O.DGTSA(16:0/16:1)_B","H_O.DGTSA(16:0/16:1)_B",0.0287999369500475,10362839.5,7247674,3115165.5
"122","C_O.PC(19:1/0:0)","H_O.PC(19:1/0:0)",0.0288405316350564,79818.6308683333,35347.688282,44470.9425863333
"22","C_O.DG(18:1/18:2/0:0)","H_O.DG(18:1/18:2/0:0)",0.0306034213230647,955620.03125,757109.8625,198510.16875
"195","C_M.TG(54:6)","H_M.TG(54:6)",0.0309289886766342,10530177.4166667,6676891.175,3853286.2416667
"163","C_M.TG(52:1)","H_M.TG(52:1)",0.0312531274961961,937604.71875,614502.38439,323102.33436
"217","C_M.TG(58:1)","H_M.TG(58:1)",0.0318006981026362,80558.33073,57049.868362,23508.462368
"44","C_O.DGTSA(14:0/18:3)","H_O.DGTSA(14:0/18:3)",0.0330982965987064,163423.589848333,32710.690624,130712.899224333
"21","C_M.DG(18:1/18:2/0:0)","H_M.DG(18:1/18:2/0:0)",0.0332122918901549,1082435.55208333,762415.38438,320020.16770333
"99","C_M.PC(16:0/18:2)","H_M.PC(16:0/18:2)",0.0358490535797147,2651229.79166667,1451848.175,1199381.61666667
"126","C_O.PC(20:4/20:4)","H_O.PC(20:4/20:4)",0.0363726795380842,474903.77085,272841.773458,202061.997392
