"","Control","Heated","pvalues","V4","V5","Diff"
"2","C_O.CoQ10","H_O.CoQ10",0.704694668312566,1208233.80208333,1272505.6626,-64271.8605166699
"3","C_M.CoQ8","H_M.CoQ8",0.0758094362757327,681446.135416667,463499.75003,217946.385386667
"4","C_O.CoQ8","H_O.CoQ8",0.0546672644279831,481678.958333333,342240.75938,139438.198953333
"5","C_M.CoQ9","H_M.CoQ9",0.0492718125952649,819440.692733333,510695.68439,308745.008343333
"8","C_O.DG(16:0/17:0/0:0)","H_O.DG(16:0/17:0/0:0)",0.631127736168317,375636.791683333,389739.60004,-14102.808356667
"9","C_M.DG(16:0/18:1/0:0)","H_M.DG(16:0/18:1/0:0)",0.072399661435449,824187.145833333,650097.58751,174089.558323333
"10","C_O.DG(16:0/18:1/0:0)","H_O.DG(16:0/18:1/0:0)",0.252050981002492,625786.802083333,565362.8125,60423.989583333
"11","C_M.DG(16:0/18:2/0:0)","H_M.DG(16:0/18:2/0:0)",0.0181927543172424,788812.59375,414855.17658,373957.41717
"12","C_O.DG(16:0/18:2/0:0)","H_O.DG(16:0/18:2/0:0)",0.070263041072509,1008788.80208333,558933.34376,449855.45832333
"16","C_O.DG(16:1/18:1/0:0)_B","H_O.DG(16:1/18:1/0:0)_B",0.140827203772067,266446.802083333,197518.85626,68927.945823333
"17","C_M.DG(17:0/0:0/17:0)","H_M.DG(17:0/0:0/17:0)",0.361886031636949,255497.02085,240616.65627,14880.36458
"19","C_M.DG(18:1/0:0/18:1)","H_M.DG(18:1/0:0/18:1)",0.144069292890233,2008888.10416667,1541147.8,467740.30416667
"20","C_O.DG(18:1/0:0/18:1)","H_O.DG(18:1/0:0/18:1)",0.408200629264097,1427589.46875,1336923.2875,90666.1812499999
"21","C_M.DG(18:1/18:2/0:0)","H_M.DG(18:1/18:2/0:0)",0.0332122918901549,1082435.55208333,762415.38438,320020.16770333
"23","C_M.DG(18:2/0:0/18:2)","H_M.DG(18:2/0:0/18:2)",0.00315679765710011,856624.234466667,493335.94065,363288.293816667
"24","C_O.DG(18:2/0:0/18:2)","H_O.DG(18:2/0:0/18:2)",0.120759203411788,1952105.25,812743.6375,1139361.6125
"26","C_O.DGDG(14:0/18:1);DGDG(15:0/17:1)","H_O.DGDG(14:0/18:1);DGDG(15:0/17:1)",0.743194800505003,545654.2448,605178.95,-59524.7052
"27","C_M.DGDG(15:0/15:0)","H_M.DGDG(15:0/15:0)",0.74769550994445,375890.64325,423328.47189,-47437.82864
"28","C_O.DGDG(15:0/15:0)","H_O.DGDG(15:0/15:0)",0.870956249769264,195924.209633333,254117.5125,-58193.302866667
"30","C_O.DGDG(15:0/16:1)","H_O.DGDG(15:0/16:1)",0.0572441653786562,373287.7344,265623.92814,107663.80626
"32","C_O.DGDG(15:0/17:0)","H_O.DGDG(15:0/17:0)",0.954316089684629,351301.21615,572970.925,-221669.70885
"33","C_M.DGDG(15:0/18:1)","H_M.DGDG(15:0/18:1)",0.834192951825671,306879.2448,377752.20939,-70872.96459
"34","C_O.DGDG(15:0/18:1)","H_O.DGDG(15:0/18:1)",0.618896316360069,244025.40625,264429.63126,-20404.22501
"38","C_O.DGDG(18:1/18:1)","H_O.DGDG(18:1/18:1)",0.0838449800583379,492972.916683333,320891.7594,172081.157283333
"39","C_M.DGDG(18:1/19:1)","H_M.DGDG(18:1/19:1)",0.00100019615606805,306643.286483333,165322.694528,141320.591955333
"40","C_O.DGDG(18:1/19:1)","H_O.DGDG(18:1/19:1)",0.000485553170755786,451990.64065,269591.80314,182398.83751
"42","C_O.DGDG(19:1/19:1)","H_O.DGDG(19:1/19:1)",0.453147154588567,5030029.54166667,4987902.8,42126.74166667
"43","C_M.DGTSA(14:0/18:3)","H_M.DGTSA(14:0/18:3)",0.000571638056197394,76696.4349,16374.6372557,60321.7976443
"48","C_O.DGTSA(16:0/16:1)_A","H_O.DGTSA(16:0/16:1)_A",0.745621481072035,723395.3125,793043.1375,-69647.825
"50","C_O.DGTSA(16:0/16:1)_B","H_O.DGTSA(16:0/16:1)_B",0.0287999369500475,10362839.5,7247674,3115165.5
"51","C_M.DGTSA(16:0/16:2)","H_M.DGTSA(16:0/16:2)",0.00975503562906115,101805.744803333,53401.141603,48404.603200333
"52","C_O.DGTSA(16:0/16:2)","H_O.DGTSA(16:0/16:2)",0.1892617144993,168644.365916667,131774.44689,36869.919026667
"53","C_M.DGTSA(16:0/18:1)","H_M.DGTSA(16:0/18:1)",0.0882745969819553,3934657.45833333,2989672.6,944984.85833333
