"","Control","Heated","pvalues","V4","V5","Diff"
"1","C_M.CoQ10","H_M.CoQ10",0.103439023882169,2082696.22916667,1706264.4125,376431.81666667
"6","C_O.CoQ9","H_O.CoQ9",0.05512458872391,686280.3125,543950.95,142329.3625
"7","C_M.DG(16:0/17:0/0:0)","H_M.DG(16:0/17:0/0:0)",0.719761139027829,292621.252616667,329960.27345,-37339.020833333
"13","C_M.DG(16:1/18:1/0:0)_A","H_M.DG(16:1/18:1/0:0)_A",0.0181927543172424,788812.59375,414855.17658,373957.41717
"14","C_O.DG(16:1/18:1/0:0)_A","H_O.DG(16:1/18:1/0:0)_A",0.070263041072509,1008788.80208333,558933.34376,449855.45832333
"15","C_M.DG(16:1/18:1/0:0)_B","H_M.DG(16:1/18:1/0:0)_B",0.0285954160087079,455096.20835,317457.55158,137638.65677
"18","C_O.DG(17:0/0:0/17:0)","H_O.DG(17:0/0:0/17:0)",0.101733052042158,320725.307333333,260955.2344,59770.072933333
"22","C_O.DG(18:1/18:2/0:0)","H_O.DG(18:1/18:2/0:0)",0.0306034213230647,955620.03125,757109.8625,198510.16875
"25","C_M.DGDG(14:0/18:1);DGDG(15:0/17:1)","H_M.DGDG(14:0/18:1);DGDG(15:0/17:1)",0.532840618953707,815625.020833333,825938.075,-10313.0541666669
"29","C_M.DGDG(15:0/16:1)","H_M.DGDG(15:0/16:1)",0.386548058402454,250710.588566667,235718.5258,14992.062766667
"31","C_M.DGDG(15:0/17:0)","H_M.DGDG(15:0/17:0)",0.915929095962034,717704.4948,965334.85625,-247630.36145
"35","C_M.DGDG(15:0/19:1)","H_M.DGDG(15:0/19:1)",0.974255377865977,354790.401083333,553387.53751,-198597.136426667
"36","C_O.DGDG(15:0/19:1)","H_O.DGDG(15:0/19:1)",0.883896167971511,155919.235683333,244988.78752,-89069.551836667
"37","C_M.DGDG(18:1/18:1)","H_M.DGDG(18:1/18:1)",0.00122238661454206,424250.13545,237910.14689,186339.98856
"41","C_M.DGDG(19:1/19:1)","H_M.DGDG(19:1/19:1)",0.0202995344278844,5448681.25,3951662.9375,1497018.3125
"44","C_O.DGTSA(14:0/18:3)","H_O.DGTSA(14:0/18:3)",0.0330982965987064,163423.589848333,32710.690624,130712.899224333
"45","C_M.DGTSA(15:0/17:0)","H_M.DGTSA(15:0/17:0)",0.30708386549149,698969.640633333,639110.82813,59858.812503333
"46","C_O.DGTSA(15:0/17:0)","H_O.DGTSA(15:0/17:0)",0.941718651219168,316912.093766667,452542.96876,-135630.874993333
"47","C_M.DGTSA(16:0/16:1)_A","H_M.DGTSA(16:0/16:1)_A",0.27167091462697,1133263.94791667,989656.0563,143607.89161667
"49","C_M.DGTSA(16:0/16:1)_B","H_M.DGTSA(16:0/16:1)_B",0.0738349023217043,6228127.41666667,4564079.25,1664048.16666667
