"","row.identity","soil_type","Pvalues","Standardized_Difference_Control_minus_Heated","Actual_Difference_Control_minus_Heated","Control_Average","Heated_Average","Formula","Category","Main Class","Sub Class"
"1","Cer(d18:0/16:0)","Mineral",0.273913976256096,0.586702257941524,187931.463006667,690401.911466667,502470.44846,NA,NA,NA,NA
"2","Cer(d18:0/16:0)","Organic",0.811565552573067,-0.169291878802627,-55197.76771,545944.02605,601141.79376,NA,NA,NA,NA
"3","Cer(d18:1/16:0)","Mineral",0.332534700357537,0.542161873253763,128176.706783333,478127.638033333,349950.93125,NA,NA,NA,NA
"4","Cer(d18:1/16:0)","Organic",0.617175349533815,-0.364276985877242,-83468.3749700001,320101.76565,403570.14062,NA,NA,NA,NA
"5","CoQ10","Mineral",0.206878047764339,0.82192786387675,376431.816666667,2082696.22916667,1706264.4125,"C59H91O4","Prenol Lipids [PR]","Quinones and hydroquinones [PR02]","Ubiquinones [PR0201]"
"6","CoQ10","Organic",0.590610663374869,-0.364342820165326,-64271.8605166667,1208233.80208333,1272505.6626,NA,NA,NA,NA
"7","CoQ8","Mineral",0.151618872551465,1.00929710702208,217946.385386667,681446.135416667,463499.75003,"C49H75O4","Prenol Lipids [PR]","Quinones and hydroquinones [PR02]","Ubiquinones [PR0201]"
"8","CoQ8","Organic",0.109334528855966,0.949004637898453,139438.198953333,481678.958333333,342240.75938,NA,NA,NA,NA
"9","CoQ9","Mineral",0.0985436251905299,0.996747807845055,308745.008343333,819440.692733333,510695.68439,"C54H83O4","Prenol Lipids [PR]","Quinones and hydroquinones [PR02]","Ubiquinones [PR0201]"
"10","CoQ9","Organic",0.11024917744782,1.02089986711887,142329.3625,686280.3125,543950.95,"C54H83O4","Prenol Lipids [PR]","Quinones and hydroquinones [PR02]","Ubiquinones [PR0201]"
"11","DG(16:0/17:0/0:0)","Mineral",0.560477721944342,-0.280200120677129,-37339.0208333333,292621.252616667,329960.27345,NA,NA,NA,NA
"12","DG(16:0/17:0/0:0)","Organic",0.737744527663367,-0.211478949685989,-14102.8083566666,375636.791683333,389739.60004,NA,NA,NA,NA
"13","DG(16:0/18:1/0:0)","Mineral",0.144799322870898,0.683117849692864,174089.558323333,824187.145833333,650097.58751,"C37H74N1O5","Glycerolipids [GL]","Diradylglycerols [GL02]","Diacylglycerols [GL0201]"
"14","DG(16:0/18:1/0:0)","Organic",0.504101962004985,0.419749360450283,60423.9895833334,625786.802083333,565362.8125,"C37H74N1O5","Glycerolipids [GL]","Diradylglycerols [GL02]","Diacylglycerols [GL0201]"
"15","DG(16:0/18:2/0:0)","Mineral",0.0363855086344849,1.24746054109659,373957.41717,788812.59375,414855.17658,"C37H72N1O5","Glycerolipids [GL]","Diradylglycerols [GL02]","Diacylglycerols [GL0201]"
"16","DG(16:0/18:2/0:0)","Organic",0.140526082145018,0.882792571256074,449855.458323333,1008788.80208333,558933.34376,"C37H72N1O5","Glycerolipids [GL]","Diradylglycerols [GL02]","Diacylglycerols [GL0201]"
"17","DG(16:1/18:1/0:0)_A","Mineral",0.0363855086344849,1.24746054109659,373957.41717,788812.59375,414855.17658,NA,NA,NA,NA
