"","names(splitnn)","Pvalues","Standardized_Difference_Control_minus_Heated","Actual_Difference_Control_minus_Heated"
"1","Cer(d18:0/16:0).M",0.273913976256096,0.586702257941524,187931.463006667
"2","Cer(d18:1/16:0).M",0.332534700357537,0.542161873253763,128176.706783333
"3","CoQ10.M",0.206878047764339,0.82192786387675,376431.816666667
"4","CoQ8.M",0.151618872551465,1.00929710702208,217946.385386667
"5","CoQ9.M",0.0985436251905299,0.996747807845055,308745.008343333
"6","DG(16:0/17:0/0:0).M",0.560477721944342,-0.280200120677129,-37339.0208333333
"7","DG(16:0/18:1/0:0).M",0.144799322870898,0.683117849692864,174089.558323333
"8","DG(16:0/18:2/0:0).M",0.0363855086344849,1.24746054109659,373957.41717
"9","DG(16:1/18:1/0:0)_A.M",0.0363855086344849,1.24746054109659,373957.41717
"10","DG(16:1/18:1/0:0)_B.M",0.0571908320174158,1.07141866720726,137638.65677
"11","DG(17:0/0:0/17:0).M",0.723772063273898,0.194830880692946,14880.36458
"12","DG(18:1/0:0/18:1).M",0.288138585780465,0.550480144116823,467740.304166667
"13","DG(18:1/18:2/0:0).M",0.0664245837803098,0.895098887649151,320020.167703333
"14","DG(18:2/0:0/18:2).M",0.00631359531420023,1.40026426016013,363288.293816667
"15","DGDG(14:0/18:1);DGDG(15:0/17:1).M",0.934318762092585,-0.0390178566177155,-10313.0541666666
"16","DGDG(15:0/15:0).M",0.5046089801111,-0.30108607810434,-47437.82864
"17","DGDG(15:0/16:1).M",0.773096116804908,0.160298406402355,14992.0627666667
"18","DGDG(15:0/17:0).M",0.168141808075932,-0.637124519813316,-247630.36145
"19","DGDG(15:0/18:1).M",0.331614096348659,-0.457144060598658,-70872.96459
"20","DGDG(15:0/19:1).M",0.0514892442680469,-0.844681765969391,-198597.136426667
"21","DGDG(18:1/18:1).M",0.00244477322908412,1.6057804720848,186339.98856
"22","DGDG(18:1/19:1).M",0.0020003923121361,1.47356040561292,141320.591955333
"23","DGDG(19:1/19:1).M",0.0405990688557688,1.03576857863282,1497018.3125
"24","DGTSA(14:0/18:3).M",0.00114327611239479,1.79790782244502,60321.7976443
"25","DGTSA(15:0/17:0).M",0.614167730982981,0.285196239728773,59858.8125033333
"26","DGTSA(16:0/16:1)_A.M",0.54334182925394,0.361492335727017,143607.891616667
"27","DGTSA(16:0/16:1)_B.M",0.147669804643409,0.820532393218417,1664048.16666667
"28","DGTSA(16:0/16:2).M",0.0195100712581223,1.33225639305223,48404.6032003333
"29","DGTSA(16:0/18:1).M",0.176549193963911,0.757016346212919,944984.858333333
"30","DGTSA(16:0/18:2).M",0.841795001744905,0.110294357898134,521232.285416667
"31","DGTSA(16:0/18:3)_A.M",0.0153681155131994,1.337380616445,230471.226555667
"32","DGTSA(16:0/18:3)_B.M",0.341888679164119,0.683444774647642,1011934.39176967
"33","DGTSA(16:0/18:4).M",0.456927851367373,0.488837829548445,56375.3681093333
"34","DGTSA(16:0/19:1);DGTSA(16:1/19:0).M",0.278927399759477,0.608917155322218,137312.293826667
"35","DGTSA(16:1/16:1).M",0.0409196441845402,1.21107221481355,690688.426036667
"36","DGTSA(16:1/18:1)_A.M",0.0402446037976429,1.26019296408107,883036.210416666
"37","DGTSA(16:1/18:1)_B.M",0.158803643739397,0.673472577919802,162986.02913
"38","DGTSA(16:1/18:2).M",0.256510414127571,0.764839156954349,283255.716471667
"39","DGTSA(17:0/17:0).M",0.369990872061198,0.530109094405188,366052
"40","DGTSA(17:0/19:0).M",0.89852220981525,0.0678505189818931,33928.4166666667
"41","DGTSA(18:0/18:1).M",0.295234453737503,0.706101432048818,219475.6375
"42","DGTSA(18:0/18:2);DGTSA(18:1/18:1).M",0.253804615160195,0.70868393640677,602223.991656667
"43","DGTSA(18:1/18:1).M",0.675144307059763,0.297552771817009,812934.983333333
"44","DGTSA(18:1/18:2).M",0.142198025137631,0.893286525466009,582175.628113333
"45","DGTSA(35:0).M",0.777422444253084,-0.158515783903425,-93679.1708333332
"46","HexCer(d18:2/16:1)_A.M",0.25329687216157,0.701280360016012,89848.9859466666
"47","HexCer(d18:2/16:1)_B.M",0.591968662500819,0.308016059930559,21247.4619366667
"48","HexCer(d18:2/18:1).M",0.783258272104172,-0.148217860913278,-31481.2246166667
"49","HexCer(d34:3).M",0.051713028005245,1.19486476857141,314398.556523333
"50","PC(0:0/18:1).M",0.540573598093975,0.373037172977482,75774.6118463333
"51","PC(15:0/16:1).M",0.510951508572194,0.370557601460118,115269.142706667
"52","PC(16:0/18:2).M",0.0716981071594295,1.10651709002085,1199381.61666667
"53","PC(16:1/16:1).M",0.24929121620471,0.725031929567452,235634.523443333
"54","PC(16:1/18:1).M",0.241029935730734,0.724533918615711,1066218.725
"55","PC(17:1/19:1).M",0.677306497236746,0.238435193340569,1293969.46666667
"56","PC(18:1/18:1)_A.M",0.595444050187044,0.24008035220523,51292.9317933333
"57","PC(18:1/18:1)_B.M",0.740356314835643,0.158382976487024,19945.373945
"58","PC(18:1/18:2)_A.M",0.121455919371448,1.0431524330021,1357051.0125
"59","PC(18:1/18:2)_B.M",0.423717505168937,-0.34174825816102,-1072972.28333333
"60","PC(18:1/19:1).M",0.166399089182198,0.717110477224681,2014494.225
"61","PC(18:1/20:4).M",0.147062092413599,0.912732620982117,147543.146873333
"62","PC(18:2/18:2).M",0.0161638897900741,1.43343403153932,2590098.96041667
"63","PC(19:1/0:0).M",0.982903517262855,-0.011410454909106,-3041.25414300006
"64","PC(19:1/19:1).M",0.585805236890939,0.275652515142097,3336666.66666666
"65","PC(20:4/20:4).M",0.591485774810703,0.332325775517511,26262.245845
"66","PE(13:0/15:0).M",0.43041597049099,0.45684859897907,130297.139422667
"67","PE(14:0/16:1);PE(15:0/15:1)_A.M",0.978408354833213,0.0145118071677085,15431.6156200001
"68","PE(14:0/16:1);PE(15:0/15:1)_B.M",0.586120355151649,0.287622542649284,297888.301026667
"69","PE(14:1/15:0);PE(13:0/16:1).M",0.515782690432263,0.375070813299594,58454.1096246667
"70","PE(15:0/15:0).M",0.762784952998422,-0.156579389007539,-278960.866666667
"71","PE(15:0/16:0).M",0.331546267504987,0.564199309155398,466200.15937
"72","PE(15:0/16:1)_A.M",0.488226428782268,0.383263035555479,2308645.25833333
"73","PE(15:0/16:1)_B.M",0.362751875007226,0.465054726387543,312805.88236
"74","PE(15:0/17:0).M",0.910455931318427,0.0564252418946846,138745.841666666
"75","PE(15:0/17:1).M",0.843353291466327,0.104910646486714,387282.258333333
"76","PE(15:0/17:1);PE(16:0/16:1).M",0.358478865139407,0.528341370600286,1422498.84583333
"77","PE(15:0/18:0);PE(16:0/17:0).M",0.521071272473854,-0.319347296729013,-311127.114573333
"78","PE(15:1/16:1)_A.M",0.561243788629157,0.349093775765363,94482.5625033334
"79","PE(15:1/16:1)_B.M",0.204538806830401,0.752039150013012,144779.206786333
"80","PE(15:1/17:1).M",0.970967058004642,0.0224438873461933,13687.9291733333
"81","PE(16:0/17:0).M",0.891634417958423,-0.074122213073888,-38748.1567433333
"82","PE(16:0/17:1).M",0.470046012669164,0.439143957947075,1285821.25
"83","PE(16:0/18:1);PE(15:0/19:1).M",0.254128418467826,0.636449195747247,1027252.74583333
