,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
214,DGDG(18:1/19:1),0.000971106,1.676048513,182398.8375,451990.6407,269591.8031,Organic
24,DGTSA(14:0/18:3),0.001143276,1.797907822,60321.79764,76696.4349,16374.63726,Mineral
139,TG(46:2),0.001660737,1.503356971,302519.4594,778455.6719,475936.2125,Mineral
22,DGDG(18:1/19:1),0.002000392,1.473560406,141320.592,306643.2865,165322.6945,Mineral
21,DGDG(18:1/18:1),0.002444773,1.605780472,186339.9886,424250.1355,237910.1469,Mineral
238,HexCer(d18:2/16:1)_A,0.002696171,1.530819487,507007.4583,989989.8646,482982.4063,Organic
239,HexCer(d18:2/16:1)_B,0.003124304,1.565000483,404240.2522,782918.2709,378678.0188,Organic
14,DG(18:2/0:0/18:2),0.006313595,1.40026426,363288.2938,856624.2345,493335.9407,Mineral
190,TG(59:3),0.010259497,1.150007191,21364.8138,86480.60287,65115.78907,Mineral
251,PC(18:1/18:2)_B,0.011134712,-1.524874516,-1106284.058,1153360.042,2259644.1,Organic
31,DGTSA(16:0/18:3)_A,0.015368116,1.337380616,230471.2266,370091.0078,139619.7813,Mineral
62,PC(18:2/18:2),0.01616389,1.433434032,2590098.96,4347995.917,1757896.956,Mineral
28,DGTSA(16:0/16:2),0.019510071,1.332256393,48404.6032,101805.7448,53401.1416,Mineral
225,DGTSA(16:0/18:4),0.025365876,1.277795372,123113.0464,230979.7214,107866.675,Organic
295,PE(18:2/18:2),0.026159734,1.287892165,2248812.873,3215628.479,966815.6063,Organic
,250
,PC(18:1/18:2)_A,0.027230055,1.287412424,1332710.008,4227203.708,2894493.7,Organic
181,TG(56:6)_B,0.02817479,1.149463849,167403.5406,576851.9063,409448.3657,Mineral
380,TG(58:9),0.030851118,-1.307464508,-48882.4557,153796.6693,202679.125,Organic
358,TG(53:5),0.030999979,-1.219017218,-189399.1687,416334.9688,605734.1375,Organic
145,TG(48:1),0.032149407,1.324595262,1091627.996,3034633.833,1943005.838,Mineral
254,PC(18:2/18:2),0.035642268,1.193605934,3177733.825,7147249,3969515.175,Organic
8,DG(16:0/18:2/0:0),0.036385509,1.247460541,373957.4172,788812.5938,414855.1766,Mineral
