"","row.identity","charge","plot","plot_number","soil_type","type_number","frequency","lipid","V9"
"1","Cer(d18:0/16:0)","NEG","C","12","M","17",322459.375,"Cer",-0.781988981695129
"2","Cer(d18:0/16:0)","NEG","C","19","M","16",506189.5313,"Cer",-0.208402761332787
"3","Cer(d18:0/16:0)","NEG","C","14","M","27",623673.375,"Cer",0.158369439913759
"4","Cer(d18:0/16:0)","NEG","C","30","M","14",962928.875,"Cer",1.21748942272377
"5","Cer(d18:0/16:0)","NEG","C","4","M","08",559593.6875,"Cer",-0.0416806035592889
"6","Cer(d18:0/16:0)","NEG","C","7","M","07",1167566.625,"Cer",1.85634695123039
"7","Cer(d18:0/16:0)","NEG","H","30","M","11",470461.9375,"Cer",-0.319940550790288
"8","Cer(d18:0/16:0)","NEG","H","28","M","03",313024.75,"Cer",-0.811442888463976
"9","Cer(d18:0/16:0)","NEG","H","11","M","13",169649.2344,"Cer",-1.25904616569205
"10","Cer(d18:0/16:0)","NEG","H","17","M","18",379515.7188,"Cer",-0.603865078428541
"11","Cer(d18:0/16:0)","NEG","H","26","M","12",222825.7813,"Cer",-1.09303458020965
"12","Cer(d18:0/16:0)","NEG","H","2B","M","",927758.0625,"Cer",1.10768984591392
"13","Cer(d18:0/16:0)","NEG","H","2","M","23",498669.7188,"Cer",-0.231878824906508
"14","Cer(d18:0/16:0)","NEG","H","32","M","20",1016504,"Cer",1.3847453271057
"15","Cer(d18:0/16:0)","NEG","H","34","M","01",850365.3125,"Cer",0.866077821791629
"16","Cer(d18:0/16:0)","NEG","H","4","M","05",175929.9688,"Cer",-1.23943837360095
"17","Cer(d18:1/16:0)","NEG","C","12","M","17",268153.4688,"Cer",-0.549297633966694
"18","Cer(d18:1/16:0)","NEG","C","19","M","16",553688.5625,"Cer",0.658458792025442
"19","Cer(d18:1/16:0)","NEG","C","14","M","27",402383.1875,"Cer",0.0184672709292741
"20","Cer(d18:1/16:0)","NEG","C","30","M","14",925547.3125,"Cer",2.23134704563454
"21","Cer(d18:1/16:0)","NEG","C","4","M","08",221723.1406,"Cer",-0.745688650278654
"22","Cer(d18:1/16:0)","NEG","C","7","M","07",497270.1563,"Cer",0.419820200357701
"23","Cer(d18:1/16:0)","NEG","H","30","M","11",197931.4531,"Cer",-0.846322737286929
"24","Cer(d18:1/16:0)","NEG","H","28","M","03",185035.4219,"Cer",-0.900870373970634
"25","Cer(d18:1/16:0)","NEG","H","11","M","13",147871.8125,"Cer",-1.05806502028991
"26","Cer(d18:1/16:0)","NEG","H","17","M","18",326103.875,"Cer",-0.304178988233991
"27","Cer(d18:1/16:0)","NEG","H","26","M","12",176128.9531,"Cer",-0.938542958403986
"28","Cer(d18:1/16:0)","NEG","H","2B","M","",568878.6875,"Cer",0.722709987360644
