"","lipid","min","org"
"1","Cer",0.14761502160694,0.619136547738567
"2","CoQ10",0.206878047764339,0.590610663374869
"3","CoQ8",0.151618872551465,0.109334528855966
"4","CoQ9",0.0985436251905299,0.11024917744782
"5","DG",0.0129069849394034,0.044787657906559
"6","DGDG",0.587832797859559,0.983805281259452
"7","DGTSA",0.138000563483527,0.128328499260567
"8","HexCer",0.0765485535621161,0.0013855932949014
"9","PC",0.534442120694664,0.786719665386578
"10","PE",0.0275539343837339,0.249573352257499
"11","PG",0.0218601221500734,0.00422194470464721
"12","PI",0.204161103612332,0.0681929614268294
"13","TG",0.0383074542364334,0.919845490390956
