"","row.identity","charge","type","frequency"
"1","CoQ10","POS","C_M",1712878.125
"2","CoQ10","POS","C_M",2081089
"3","CoQ10","POS","C_M",2071806.875
"4","CoQ10","POS","C_M",3061415.75
"5","CoQ10","POS","C_M",2348825.75
"6","CoQ10","POS","C_M",1220161.875
"7","CoQ10","POS","H_M",1431300.5
"8","CoQ10","POS","H_M",1556272
"9","CoQ10","POS","H_M",1724501.375
"10","CoQ10","POS","H_M",1503287.75
"11","CoQ10","POS","H_M",1451675.375
"12","CoQ10","POS","H_M",1803499.125
"13","CoQ10","POS","H_M",1799981
"14","CoQ10","POS","H_M",2349421.25
"15","CoQ10","POS","H_M",1536241.625
"16","CoQ10","POS","H_M",1906464.125
"17","CoQ10","POS","C_O",1382124.75
"18","CoQ10","POS","C_O",1125125.25
"19","CoQ10","POS","C_O",1184777.625
"20","CoQ10","POS","C_O",969736.0625
"21","CoQ10","POS","C_O",1360251
"22","CoQ10","POS","C_O",1227388.125
"23","CoQ10","POS","H_O",1590718.375
"24","CoQ10","POS","H_O",1046162.313
"25","CoQ10","POS","H_O",1196283.875
"26","CoQ10","POS","H_O",1372953.5
"27","CoQ10","POS","H_O",1156410.25
"28","CoQ8","POS","C_M",554221.875
"29","CoQ8","POS","C_M",715525.4375
"30","CoQ8","POS","C_M",469119.375
"31","CoQ8","POS","C_M",708864.625
"32","CoQ8","POS","C_M",1264249.75
"33","CoQ8","POS","C_M",376695.75
"34","CoQ8","POS","H_M",468143.0938
"35","CoQ8","POS","H_M",449613.6563
"36","CoQ8","POS","H_M",487438.8438
"37","CoQ8","POS","H_M",441474.1875
"38","CoQ8","POS","H_M",444762.0313
"39","CoQ8","POS","H_M",456715.9063
"40","CoQ8","POS","H_M",472628.0938
"41","CoQ8","POS","H_M",590188.0625
"42","CoQ8","POS","H_M",447353.4375
"43","CoQ8","POS","H_M",376680.1875
"44","CoQ8","POS","C_O",425283.3125
"45","CoQ8","POS","C_O",337204.0625
"46","CoQ8","POS","C_O",539374.8125
"47","CoQ8","POS","C_O",361351
"48","CoQ8","POS","C_O",767828.9375
"49","CoQ8","POS","C_O",459031.625
"50","CoQ8","POS","H_O",454802.9375
"51","CoQ8","POS","H_O",218337.7031
"52","CoQ8","POS","H_O",296948.375
"53","CoQ8","POS","H_O",429411.9063
"54","CoQ8","POS","H_O",311702.875
"55","CoQ9","POS","C_M",519139.6563
"56","CoQ9","POS","C_M",888100.25
"57","CoQ9","POS","C_M",504298.0313
"58","CoQ9","POS","C_M",1319711.375
"59","CoQ9","POS","C_M",1164968.125
"60","CoQ9","POS","C_M",520426.7188
"61","CoQ9","POS","H_M",403211.875
"62","CoQ9","POS","H_M",453667.875
"63","CoQ9","POS","H_M",954079.75
"64","CoQ9","POS","H_M",368251.9688
"65","CoQ9","POS","H_M",434176.125
"66","CoQ9","POS","H_M",835534.4375
"67","CoQ9","POS","H_M",370172.5625
"68","CoQ9","POS","H_M",574586.4375
"69","CoQ9","POS","H_M",440600.8438
"70","CoQ9","POS","H_M",272674.9688
"71","CoQ9","POS","C_O",688053.4375
"72","CoQ9","POS","C_O",596501
"73","CoQ9","POS","C_O",736611.5625
"74","CoQ9","POS","C_O",532638.875
"75","CoQ9","POS","C_O",762783.0625
"76","CoQ9","POS","C_O",801093.9375
"77","CoQ9","POS","H_O",699693.0625
"78","CoQ9","POS","H_O",661979.1875
"79","CoQ9","POS","H_O",336758.6875
"80","CoQ9","POS","H_O",546372.5
"81","CoQ9","POS","H_O",474951.3125
"82","DG(16:0/17:0/0:0)","POS","C_M",344919.7813
"83","DG(16:0/17:0/0:0)","POS","C_M",184904
"84","DG(16:0/17:0/0:0)","POS","C_M",305112.125
"85","DG(16:0/17:0/0:0)","POS","C_M",404670.1875
"86","DG(16:0/17:0/0:0)","POS","C_M",348569.2188
"87","DG(16:0/17:0/0:0)","POS","C_M",167552.2031
"88","DG(16:0/17:0/0:0)","POS","H_M",349460.4063
"89","DG(16:0/17:0/0:0)","POS","H_M",396636.8125
"90","DG(16:0/17:0/0:0)","POS","H_M",322619.4688
"91","DG(16:0/17:0/0:0)","POS","H_M",244961.6875
"92","DG(16:0/17:0/0:0)","POS","H_M",255044.7969
"93","DG(16:0/17:0/0:0)","POS","H_M",459383.8438
"94","DG(16:0/17:0/0:0)","POS","H_M",213347.0781
"95","DG(16:0/17:0/0:0)","POS","H_M",683092.9375
"96","DG(16:0/17:0/0:0)","POS","H_M",156107.75
"97","DG(16:0/17:0/0:0)","POS","H_M",218947.9531
"98","DG(16:0/17:0/0:0)","POS","C_O",529697.1875
"99","DG(16:0/17:0/0:0)","POS","C_O",346299.875
"100","DG(16:0/17:0/0:0)","POS","C_O",349191.25
"101","DG(16:0/17:0/0:0)","POS","C_O",364735.4375
"102","DG(16:0/17:0/0:0)","POS","C_O",368636.0938
"103","DG(16:0/17:0/0:0)","POS","C_O",295260.9063
"104","DG(16:0/17:0/0:0)","POS","H_O",341947.2188
"105","DG(16:0/17:0/0:0)","POS","H_O",459989.5625
"106","DG(16:0/17:0/0:0)","POS","H_O",378594.7813
"107","DG(16:0/17:0/0:0)","POS","H_O",336132.9688
"108","DG(16:0/17:0/0:0)","POS","H_O",432033.4688
"109","DG(16:0/18:1/0:0)","POS","C_M",971529.125
"110","DG(16:0/18:1/0:0)","POS","C_M",631500.1875
"111","DG(16:0/18:1/0:0)","POS","C_M",755992.6875
"112","DG(16:0/18:1/0:0)","POS","C_M",1081594.375
"113","DG(16:0/18:1/0:0)","POS","C_M",778655.1875
"114","DG(16:0/18:1/0:0)","POS","C_M",725851.3125
"115","DG(16:0/18:1/0:0)","POS","H_M",538825.625
"116","DG(16:0/18:1/0:0)","POS","H_M",1404382.75
"117","DG(16:0/18:1/0:0)","POS","H_M",476531.9375
"118","DG(16:0/18:1/0:0)","POS","H_M",780659.75
"119","DG(16:0/18:1/0:0)","POS","H_M",471157.0313
"120","DG(16:0/18:1/0:0)","POS","H_M",636552.8125
"121","DG(16:0/18:1/0:0)","POS","H_M",580246.375
"122","DG(16:0/18:1/0:0)","POS","H_M",638469.3125
"123","DG(16:0/18:1/0:0)","POS","H_M",496635.1875
"124","DG(16:0/18:1/0:0)","POS","H_M",477515.0938
"125","DG(16:0/18:1/0:0)","POS","C_O",592883.5
"126","DG(16:0/18:1/0:0)","POS","C_O",952055.875
"127","DG(16:0/18:1/0:0)","POS","C_O",491842.3125
"128","DG(16:0/18:1/0:0)","POS","C_O",632846.0625
"129","DG(16:0/18:1/0:0)","POS","C_O",559880.1875
"130","DG(16:0/18:1/0:0)","POS","C_O",525212.875
"131","DG(16:0/18:1/0:0)","POS","H_O",477301.625
"132","DG(16:0/18:1/0:0)","POS","H_O",535885.0625
"133","DG(16:0/18:1/0:0)","POS","H_O",662728
"134","DG(16:0/18:1/0:0)","POS","H_O",435852.3125
"135","DG(16:0/18:1/0:0)","POS","H_O",715047.0625
"136","DG(16:0/18:2/0:0)","POS","C_M",804211.4375
"137","DG(16:0/18:2/0:0)","POS","C_M",561385.0625
"138","DG(16:0/18:2/0:0)","POS","C_M",550495.25
"139","DG(16:0/18:2/0:0)","POS","C_M",1159439.375
