row.m.z,row.retention.time,row.identity,_C_12_AB_M_17_,_C_19_AB_M_16_,_C_14_AB_M_27_,_C_30_AB_M_14_,_C_4_AB_M_08_,_C_7_AB_M_07_,C_M_avg,C_M_stdev,_H_30_AB_M_11_,_H_28_AB_M_03_,_H_11_AB_M_13_,_H_17_AB_M_18_,_H_26_AB_M_12_,_H_2B_M_02_,_H_2_AB_M_23_,_H_32_AB_M_20_,_H_34_AB_M_01_,_H_4_AB_M_05_,H_M_avg,H_M_stdev,,,,,,_C_19_AB_O_26_,_C_27_AB_O_21_,_C_12_AB_O_25_,_C_14_AB_O_09_,_C_34_AB_O_10_,_C_4_AB_O_04_,C_O_avg,C_O_stdev,_H_17_AB_O_22_,_H_11_AB_O_24_,_H_2_AB_O_15_,_H_32_AB_O_19_,_H_4_AB_O_06_,H_O_avg,H_O_stdev,charge
863.6896955,26.67964198,CoQ10,1712878.125,2081089,2071806.875,3061415.75,2348825.75,1220161.875,2082696.229,617991.7355,1431300.5,1556272,1724501.375,1503287.75,1451675.375,1803499.125,1799981,2349421.25,1536241.625,1906464.125,1706264.413,279945.6983,0.20880922,,,,,1382124.75,1125125.25,1184777.625,969736.0625,1360251,1227388.125,1208233.802,153657.1338,1590718.375,1046162.313,1196283.875,1372953.5,1156410.25,1272505.663,213230.1081,POS
727.5644411,24.50490123,CoQ8,554221.875,715525.4375,469119.375,708864.625,1264249.75,376695.75,681446.1354,314869.7155,468143.0938,449613.6563,487438.8438,441474.1875,444762.0313,456715.9063,472628.0938,590188.0625,447353.4375,376680.1875,463499.75,53334.69531,0.153577746,,,,,425283.3125,337204.0625,539374.8125,361351,767828.9375,459031.625,481678.9583,157642.5107,454802.9375,218337.7031,296948.375,429411.9063,311702.875,342240.7594,98240.75353,POS
795.6271907,25.71703704,CoQ9,519139.6563,888100.25,504298.0313,1319711.375,1164968.125,520426.7188,819440.6927,361463.4319,403211.875,453667.875,954079.75,368251.9688,434176.125,835534.4375,370172.5625,574586.4375,440600.8438,272674.9688,510695.6844,218188.4925,0.099894365,,,0.099894365,,688053.4375,596501,736611.5625,532638.875,762783.0625,801093.9375,686280.3125,103186.4664,699693.0625,661979.1875,336758.6875,546372.5,474951.3125,543950.95,146527.9137,POS
600.5551355,23.33503086,DG(16:0/17:0/0:0),344919.7813,184904,305112.125,404670.1875,348569.2188,167552.2031,292621.2526,95730.42399,349460.4063,396636.8125,322619.4688,244961.6875,255044.7969,459383.8438,213347.0781,683092.9375,156107.75,218947.9531,329960.2735,154674.2826,0.56043447,,,,,529697.1875,346299.875,349191.25,364735.4375,368636.0938,295260.9063,375636.7917,79903.39062,341947.2188,459989.5625,378594.7813,336132.9688,432033.4688,389739.6,54785.53222,POS
612.5549276,23.35625309,DG(16:0/18:1/0:0),971529.125,631500.1875,755992.6875,1081594.375,778655.1875,725851.3125,824187.1458,168220.0843,538825.625,1404382.75,476531.9375,780659.75,471157.0313,636552.8125,580246.375,638469.3125,496635.1875,477515.0938,650097.5875,282656.4634,,,,,,592883.5,952055.875,491842.3125,632846.0625,559880.1875,525212.875,625786.8021,167322.3783,477301.625,535885.0625,662728,435852.3125,715047.0625,565362.8125,119668.3276,POS
610.5391776,22.4546358,DG(16:0/18:2/0:0),804211.4375,561385.0625,550495.25,1159439.375,455949.1875,1201395.25,788812.5938,324697.4805,323625.9063,808519.4375,224578.1406,612798.0625,328854.4063,318295.375,341720.5313,547671.375,305407.125,337081.4063,414855.1766,181480.776,,,,,,704189.5,681085.5,2227875.25,829226.6875,1030857.625,579498.25,1008788.802,616986.5348,606755.3125,376896.5,829366.1875,382138.5313,599510.1875,558933.3438,188056.6152,POS
610.5391675,22.4546358,DG(16:1/18:1/0:0)_A,804211.4375,561385.0625,550495.25,1159439.375,455949.1875,1201395.25,788812.5938,324697.4805,323625.9063,808519.4375,224578.1406,612798.0625,328854.4063,318295.375,341720.5313,547671.375,305407.125,337081.4063,414855.1766,181480.776,t-Test: Two-Sample Assuming Unequal Variances,,,,,704189.5,681085.5,2227875.25,829226.6875,1030857.625,579498.25,1008788.802,616986.5348,606755.3125,376896.5,829366.1875,382138.5313,599510.1875,558933.3438,188056.6152,POS
610.5391821,22.27535802,DG(16:1/18:1/0:0)_B,538058.3125,343039.5,345898.9688,577859.625,606121.5,319599.3438,455096.2084,132364.9117,266162.8438,540487.8125,224081.6563,291894.5,220335.4375,322477.5,386573.9688,230543.6094,389225.5,302792.6875,317457.5516,99387.50526,,,,,,206672.6875,525194.875,157386.8906,235016.625,282970.9375,191438.7969,266446.8021,133644.8115,214647.3438,138436.7031,192709.1406,173310.9375,268490.1563,197518.8563,48554.52613,POS
614.5705696,23.74396296,DG(17:0/0:0/17:0),265774.375,167122.3906,239617.8438,355569.9063,336172.8438,168724.7656,255497.0209,80275.08036,247981.0781,293284.5313,228194.6406,198273,168171,306911.7813,212574.3438,409676.625,150020.1563,191079.4063,240616.6563,77780.42987,,Variable 1,Variable 2,,,482229.4688,262029.4063,308810.5938,329290.0938,339476.3438,202515.9375,320725.3073,93882.02748,213037.8906,265711.8438,235843.2813,264646.6875,325536.4688,260955.2344,42230.52812,POS
638.5705114,23.42856173,DG(18:1/0:0/18:1),3410918.5,1827907.25,1723475.5,2202206.5,1764657.25,1124163.625,2008888.104,769371.402,979994.4375,3865238.5,969073.6875,2039480,1083805.125,1252031.375,1592017.75,1295579.875,1414434,919823.25,1541147.8,885038.4185,Mean,292621.2526,329960.2735,,,1381133.25,2825092,1188475.5,1157052,818795.4375,1194988.625,1427589.469,708557.8088,905474.9375,1668460.375,1442555.875,665053.625,2003071.625,1336923.288,548266.6353,POS
