,row.identity,soil_type,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,Formula,Category,Main Class,Sub Class,KEGG inputs,Notes,
22,DG(16:0/18:2/0:0),Mineral,0.036385509,1.247460541,373957.4172,788812.5938,414855.1766,C37H72N1O5,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],C00641 ,"1,2 generic",
23,DG(16:1/18:1/0:0)_A,Mineral,0.036385509,1.247460541,373957.4172,788812.5938,414855.1766,C37H74N1O5,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],C13861 ,compound specific,
8,DG(18:2/0:0/18:2),Mineral,0.006313595,1.40026426,363288.2938,856624.2345,493335.9407,C39H72N1O5,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],C06437 ,"1,3 generic",
5,DGDG(18:1/18:1),Mineral,0.002444773,1.605780472,186339.9886,424250.1355,237910.1469,C51H96N1O15,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldiacylglycerols [GL0501],C04872,C17H32N1O15,None on Kegg have 1 Nitrogen with 15 Oxygen. Closest is 1 N with 18 O
4,DGDG(18:1/19:1),Mineral,0.002000392,1.473560406,141320.592,306643.2865,165322.6945,C52H98N1O15,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldiacylglycerols [GL0501],C04872,,
29,DGDG(19:1/19:1),Mineral,0.040599069,1.035768579,1497018.313,5448681.25,3951662.938,C53H100N1O15,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldiacylglycerols [GL0501],C04872,,
2,DGTSA(14:0/18:3),Mineral,0.001143276,1.797907822,60321.79764,76696.4349,16374.63726,C42H76N1O7,Glycerolipids [GL],Other Glycerolipids [GL00],NA,"R09072,
R09073,map00564",,
13,DGTSA(16:0/16:2),Mineral,0.019510071,1.332256393,48404.6032,101805.7448,53401.1416,C42H78N1O7,Glycerolipids [GL],Other Glycerolipids [GL00],NA,"R09072,
R09073,map00564",,
11,DGTSA(16:0/18:3)_A,Mineral,0.015368116,1.337380616,230471.2266,370091.0078,139619.7813,C44H80N1O7,Glycerolipids [GL],Other Glycerolipids [GL00],NA,"R09072,
R09073,map00564",,
30,DGTSA(16:1/16:1),Mineral,0.040919644,1.211072215,690688.426,1752674.479,1061986.053,C42H78N1O7,Glycerolipids [GL],Other Glycerolipids [GL00],NA,"R09072,
R09073,map00564",,
