row.identity,plot,treatment,average,P,test
Cer(d18:0/16:0),M,C,690401.9115,N,
Cer(d18:0/16:0),M,H,502470.4485,N,
Cer(d18:0/16:0),O,C,545944.0261,N,
Cer(d18:0/16:0),O,H,601141.7938,N,
Cer(d18:1/16:0),M,C,478127.638,N,
Cer(d18:1/16:0),M,H,349950.9313,N,
Cer(d18:1/16:0),O,C,320101.7657,N,
Cer(d18:1/16:0),O,H,403570.1406,N,
CoQ10,M,C,2082696.229,N,
CoQ10,M,H,1706264.413,N,
CoQ10,O,C,1208233.802,N,
CoQ10,O,H,1272505.663,N,
CoQ8,M,C,681446.1354,N,
CoQ8,M,H,463499.75,N,
CoQ8,O,C,481678.9583,N,
CoQ8,O,H,342240.7594,N,
CoQ9,M,C,819440.6927,N,
CoQ9,M,H,510695.6844,N,
CoQ9,O,C,686280.3125,N,
CoQ9,O,H,543950.95,N,
DG(16:0/17:0/0:0),M,C,292621.2526,N,
DG(16:0/17:0/0:0),M,H,329960.2735,N,
DG(16:0/17:0/0:0),O,C,375636.7917,N,
DG(16:0/17:0/0:0),O,H,389739.6,N,
DG(16:0/18:1/0:0),M,C,824187.1458,N,
DG(16:0/18:1/0:0),M,H,650097.5875,N,
DG(16:0/18:1/0:0),O,C,625786.8021,N,
DG(16:0/18:1/0:0),O,H,565362.8125,N,
DG(16:0/18:2/0:0),M,C,788812.5938,P,DG(16:0/18:2/0:0)
DG(16:0/18:2/0:0),M,H,414855.1766,P,
DG(16:0/18:2/0:0),O,C,1008788.802,P,DG(16:0/18:2/0:0)
DG(16:0/18:2/0:0),O,H,558933.3438,P,
DG(16:1/18:1/0:0)_A,M,C,788812.5938,P,DG(16:1/18:1/0:0)_A
DG(16:1/18:1/0:0)_A,M,H,414855.1766,P,
DG(16:1/18:1/0:0)_A,O,C,1008788.802,P,DG(16:1/18:1/0:0)_A
DG(16:1/18:1/0:0)_A,O,H,558933.3438,P,
DG(16:1/18:1/0:0)_B,M,C,455096.2084,N,
DG(16:1/18:1/0:0)_B,M,H,317457.5516,N,
DG(16:1/18:1/0:0)_B,O,C,266446.8021,N,
DG(16:1/18:1/0:0)_B,O,H,197518.8563,N,
DG(17:0/0:0/17:0),M,C,255497.0209,N,
DG(17:0/0:0/17:0),M,H,240616.6563,N,
DG(17:0/0:0/17:0),O,C,320725.3073,N,
DG(17:0/0:0/17:0),O,H,260955.2344,N,
DG(18:1/0:0/18:1),M,C,2008888.104,N,
DG(18:1/0:0/18:1),M,H,1541147.8,N,
DG(18:1/0:0/18:1),O,C,1427589.469,N,
DG(18:1/0:0/18:1),O,H,1336923.288,N,
DG(18:1/18:2/0:0),M,C,1082435.552,N,
DG(18:1/18:2/0:0),M,H,762415.3844,N,
DG(18:1/18:2/0:0),O,C,955620.0313,N,
DG(18:1/18:2/0:0),O,H,757109.8625,N,
DG(18:2/0:0/18:2),M,C,856624.2345,P,DG(18:2/0:0/18:2)
DG(18:2/0:0/18:2),M,H,493335.9407,P,
DG(18:2/0:0/18:2),O,C,1952105.25,P,DG(18:2/0:0/18:2)
DG(18:2/0:0/18:2),O,H,812743.6375,P,
DGDG(14:0/18:1);DGDG(15:0/17:1),M,C,815625.0208,N,
DGDG(14:0/18:1);DGDG(15:0/17:1),M,H,825938.075,N,
DGDG(14:0/18:1);DGDG(15:0/17:1),O,C,545654.2448,N,
DGDG(14:0/18:1);DGDG(15:0/17:1),O,H,605178.95,N,
DGDG(15:0/15:0),M,C,375890.6433,N,
DGDG(15:0/15:0),M,H,423328.4719,N,
DGDG(15:0/15:0),O,C,195924.2096,N,
DGDG(15:0/15:0),O,H,254117.5125,N,
DGDG(15:0/16:1),M,C,250710.5886,N,
DGDG(15:0/16:1),M,H,235718.5258,N,
DGDG(15:0/16:1),O,C,373287.7344,N,
DGDG(15:0/16:1),O,H,265623.9281,N,
DGDG(15:0/17:0),M,C,717704.4948,N,
DGDG(15:0/17:0),M,H,965334.8563,N,
DGDG(15:0/17:0),O,C,351301.2162,N,
DGDG(15:0/17:0),O,H,572970.925,N,
DGDG(15:0/18:1),M,C,306879.2448,N,
DGDG(15:0/18:1),M,H,377752.2094,N,
DGDG(15:0/18:1),O,C,244025.4063,N,
DGDG(15:0/18:1),O,H,264429.6313,N,
DGDG(15:0/19:1),M,C,354790.4011,N,
